"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"LUX","HUR","WOMEN","PC_LF","M","2003-06",4.8,
"LUX","HUR","WOMEN","PC_LF","M","2003-07",5,
"LUX","HUR","WOMEN","PC_LF","M","2003-08",5.1,
"LUX","HUR","WOMEN","PC_LF","M","2003-09",5.3,
"LUX","HUR","WOMEN","PC_LF","M","2003-10",5.6,
"LUX","HUR","WOMEN","PC_LF","M","2003-11",5.6,
"LUX","HUR","WOMEN","PC_LF","M","2003-12",5.9,
"LUX","HUR","WOMEN","PC_LF","M","2004-01",6.2,
"LUX","HUR","WOMEN","PC_LF","M","2004-02",6.4,
"LUX","HUR","WOMEN","PC_LF","M","2004-03",6.7,
"LUX","HUR","WOMEN","PC_LF","M","2004-04",6.9,
"LUX","HUR","WOMEN","PC_LF","M","2004-05",6.9,
"LUX","HUR","WOMEN","PC_LF","M","2004-06",6.9,
"LUX","HUR","WOMEN","PC_LF","M","2004-07",7,
"LUX","HUR","WOMEN","PC_LF","M","2004-08",7,
"LUX","HUR","WOMEN","PC_LF","M","2004-09",7.1,
"LUX","HUR","WOMEN","PC_LF","M","2004-10",6.9,
"LUX","HUR","WOMEN","PC_LF","M","2004-11",7,
"LUX","HUR","WOMEN","PC_LF","M","2004-12",6.7,
"LUX","HUR","WOMEN","PC_LF","M","2005-01",6.4,
"LUX","HUR","WOMEN","PC_LF","M","2005-02",6.4,
"LUX","HUR","WOMEN","PC_LF","M","2005-03",6.2,
"LUX","HUR","WOMEN","PC_LF","M","2005-04",6.1,
"LUX","HUR","WOMEN","PC_LF","M","2005-05",6.1,
"LUX","HUR","WOMEN","PC_LF","M","2005-06",6,
"LUX","HUR","WOMEN","PC_LF","M","2005-07",5.8,
"LUX","HUR","WOMEN","PC_LF","M","2005-08",5.8,
"LUX","HUR","WOMEN","PC_LF","M","2005-09",6,
"LUX","HUR","WOMEN","PC_LF","M","2005-10",5.9,
"LUX","HUR","WOMEN","PC_LF","M","2005-11",6,
"LUX","HUR","WOMEN","PC_LF","M","2005-12",6.1,
"LUX","HUR","WOMEN","PC_LF","M","2006-01",5.8,
"LUX","HUR","WOMEN","PC_LF","M","2006-02",5.8,
